Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_weapons_ammo_50bmg,.50 BMG cartridge,.50 BMG cartridge,Náboj BMG .50,.50 BMG-Patrone,Патрон .50 BMG,Nabój .50 BMG,.50 BMG patron,Cartuccia .50 BMG,Cartucho .50 BMG,Cartouche .50 BMG,.50 BMG 子弹,.50 BMGカートリッジ,Cartucho .50 BMG,.50 BMG 子弹,
STR_kr_weapons_ammo_50bmg_dsc,"This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","Jedná se o standardní velkorážní náboj používaný ve vojenských a civilních střelných zbraních. Má vysoký výkon a schopnosti dlouhého dosahu, což mu umožňuje zasáhnout cíle na značné vzdálenosti.","Hierbei handelt es sich um eine Standardpatrone mit großem Kaliber, die in militärischen und zivilen Schusswaffen verwendet wird. Sie verfügt über eine hohe Durchschlagskraft und große Reichweite, sodass Ziele in beträchtlicher Entfernung beschossen werden können.","Стандартный патрон крупного калибра, используемый в военных и гражданских огнестрельных системах. Он обладает большой мощностью и дальностью полета, что позволяет ему поражать цели на больших расстояниях.","To standardowy nabój dużego kalibru używany w broni wojskowej i cywilnej. Posiada dużą moc i zasięg, co pozwala mu atakować cele na znaczną odległość.","Ez egy szabványos, nagy kaliberű töltény, amelyet katonai és polgári lőfegyverekben használnak. Nagy teljesítményű és nagy hatótávolságú képességekkel rendelkezik, lehetővé téve, hogy jelentős távolságra lévő célpontokba ütközzen.","Si tratta di una cartuccia standard di grosso calibro utilizzata nelle armi da fuoco militari e civili. Possiede elevata potenza e capacità a lunga gittata, consentendo di colpire bersagli a distanze significative.","Este es un cartucho estándar de gran calibre, utilizado en armas de fuego militares y civiles. Posee alta potencia y gran alcance, lo que le permite alcanzar objetivos a distancias considerables.",Il s'agit d'une cartouche standard de gros calibre utilisée dans les armes à feu militaires et civiles. Sa puissance élevée et sa longue portée lui permettent d'atteindre des cibles à des distances considérables.,这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,これは軍用および民間の銃器で使用される標準的な大口径弾薬です。高​​威力と長距離射程を誇り、遠距離の標的への攻撃が可能です。,"Este é um cartucho padrão de grande calibre usado em armas de fogo militares e civis. Possui alta potência e capacidade de longo alcance, permitindo atingir alvos a distâncias consideráveis.",这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,
STR_kr_weapons_ammo_50bmg_tracer,Tracer .50 BMG cartridge,Tracer .50 BMG cartridge,Náboj Tracer .50 BMG,Tracer .50 BMG-Patrone,Трассирующий патрон .50 BMG,Nabój Tracer .50 BMG,Tracer .50 BMG patron,Cartuccia Tracer .50 BMG,Cartucho trazador .50 BMG,Cartouche Tracer .50 BMG,曳光.50 BMG子弹,曳光弾 .50 BMG 弾,Cartucho Tracer .50 BMG,曳光.50 BMG子弹,
STR_kr_weapons_ammo_50bmg_tracer_dsc,"This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","Jedná se o standardní velkorážní náboj používaný ve vojenských a civilních střelných zbraních. Má vysoký výkon a schopnosti dlouhého dosahu, což mu umožňuje zasáhnout cíle na značné vzdálenosti.","Hierbei handelt es sich um eine Standardpatrone mit großem Kaliber, die in militärischen und zivilen Schusswaffen verwendet wird. Sie verfügt über eine hohe Durchschlagskraft und große Reichweite, sodass Ziele in beträchtlicher Entfernung beschossen werden können.","Этот патрон имеет специальный элемент, который создает яркий след света во время полета. Он используется для обозначения траектории выстрела и позволяет стрелку видеть, куда летит пуля даже на больших расстояниях или в условиях ограниченной видимости.","To standardowy nabój dużego kalibru używany w broni wojskowej i cywilnej. Posiada dużą moc i zasięg, co pozwala mu atakować cele na znaczną odległość.","Ez egy szabványos, nagy kaliberű töltény, amelyet katonai és polgári lőfegyverekben használnak. Nagy teljesítményű és nagy hatótávolságú képességekkel rendelkezik, lehetővé téve, hogy jelentős távolságra lévő célpontokba ütközzen.","Si tratta di una cartuccia standard di grosso calibro utilizzata nelle armi da fuoco militari e civili. Possiede elevata potenza e capacità a lunga gittata, consentendo di colpire bersagli a distanze significative.","Este es un cartucho estándar de gran calibre, utilizado en armas de fuego militares y civiles. Posee alta potencia y gran alcance, lo que le permite alcanzar objetivos a distancias considerables.",Il s'agit d'une cartouche standard de gros calibre utilisée dans les armes à feu militaires et civiles. Sa puissance élevée et sa longue portée lui permettent d'atteindre des cibles à des distances considérables.,这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,これは軍用および民間の銃器で使用される標準的な大口径弾薬です。高​​威力と長距離射程を誇り、遠距離の標的への攻撃が可能です。,"Este é um cartucho padrão de grande calibre usado em armas de fogo militares e civis. Possui alta potência e capacidade de longo alcance, permitindo atingir alvos a distâncias consideráveis.",这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,
STR_kr_weapons_ammo_50bmg_AP,Armor-piercing .50 BMG cartridge,Armor-piercing .50 BMG cartridge,Pancéřový náboj .50 BMG,Panzerbrechende .50 BMG-Patrone,Бронебойный патрон .50 BMG,Nabój przeciwpancerny .50 BMG,Páncéltörő .50 BMG patron,Cartuccia perforante .50 BMG,Cartucho perforante de blindaje .50 BMG,Cartouche perforante .50 BMG,.50 BMG穿甲弹,徹甲弾.50 BMG弾,Cartucho perfurante .50 BMG,.50 BMG穿甲弹,
STR_kr_weapons_ammo_50bmg_AP_dsc,"This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","Jedná se o standardní velkorážní náboj používaný ve vojenských a civilních střelných zbraních. Má vysoký výkon a schopnosti dlouhého dosahu, což mu umožňuje zasáhnout cíle na značné vzdálenosti.","Hierbei handelt es sich um eine Standardpatrone mit großem Kaliber, die in militärischen und zivilen Schusswaffen verwendet wird. Sie verfügt über eine hohe Durchschlagskraft und große Reichweite, sodass Ziele in beträchtlicher Entfernung beschossen werden können.","Этот патрон предназначен для проникновения через броню или защитные материалы. Он содержит специальное сердечник, обеспечивающий усиленную пробиваемость, что делает его эффективным против бронированных целей, таких как танки или бронированные транспортные средства.","To standardowy nabój dużego kalibru używany w broni wojskowej i cywilnej. Posiada dużą moc i zasięg, co pozwala mu atakować cele na znaczną odległość.","Ez egy szabványos, nagy kaliberű töltény, amelyet katonai és polgári lőfegyverekben használnak. Nagy teljesítményű és nagy hatótávolságú képességekkel rendelkezik, lehetővé téve, hogy jelentős távolságra lévő célpontokba ütközzen.","Si tratta di una cartuccia standard di grosso calibro utilizzata nelle armi da fuoco militari e civili. Possiede elevata potenza e capacità a lunga gittata, consentendo di colpire bersagli a distanze significative.","Este es un cartucho estándar de gran calibre, utilizado en armas de fuego militares y civiles. Posee alta potencia y gran alcance, lo que le permite alcanzar objetivos a distancias considerables.",Il s'agit d'une cartouche standard de gros calibre utilisée dans les armes à feu militaires et civiles. Sa puissance élevée et sa longue portée lui permettent d'atteindre des cibles à des distances considérables.,这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,これは軍用および民間の銃器で使用される標準的な大口径弾薬です。高​​威力と長距離射程を誇り、遠距離の標的への攻撃が可能です。,"Este é um cartucho padrão de grande calibre usado em armas de fogo militares e civis. Possui alta potência e capacidade de longo alcance, permitindo atingir alvos a distâncias consideráveis.",这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,
STR_kr_weapons_ammo_50bmg_E,Explosive .50 BMG cartridge,Explosive .50 BMG cartridge,Výbušný náboj .50 BMG,Explosive .50 BMG-Patrone,Разрывной патрон .50 BMG,Wybuchowy nabój .50 BMG,Robbanásveszélyes .50 BMG töltény,Cartuccia esplosiva .50 BMG,Cartucho explosivo .50 BMG,Cartouche explosive .50 BMG,爆炸性.50 BMG弹药筒,爆発性.50 BMGカートリッジ,Cartucho explosivo .50 BMG,爆炸性.50 BMG弹药筒,
STR_kr_weapons_ammo_50bmg_E_dsc,".50 BMG Explosive Cartridge: This .50 BMG caliber cartridge is designed to make the bullet explode upon impact. The fragments can cause damage in a wide area around the point of impact, making it effective against a variety of target types.",".50 BMG Explosive Cartridge: This .50 BMG caliber cartridge is designed to make the bullet explode upon impact. The fragments can cause damage in a wide area around the point of impact, making it effective against a variety of target types.","Výbušná kazeta .50 BMG: Tato kazeta ráže .50 BMG je navržena tak, aby při dopadu střela explodovala. Úlomky mohou způsobit poškození v široké oblasti kolem bodu dopadu, takže je účinný proti různým typům cílů.",".50 BMG Explosivpatrone: Diese Patrone im Kaliber .50 BMG ist so konzipiert, dass das Geschoss beim Aufprall explodiert. Die Splitter können in einem weiten Bereich um den Aufprallpunkt Schaden anrichten und sind daher gegen eine Vielzahl von Zielarten wirksam.",".50 BMG разрывной патрон: Этот патрон калибра .50 BMG имеет специальную конструкцию, которая позволяет пуле разорваться при попадании в цель. Фрагменты могут нанести урон в широкой области вокруг места попадания, делая его эффективным против множества типов целей.","Nabój wybuchowy .50 BMG: Ten nabój kalibru .50 BMG został zaprojektowany tak, aby pocisk eksplodował po uderzeniu. Odłamki mogą powodować uszkodzenia na dużym obszarze wokół punktu uderzenia, co czyni go skutecznym przeciwko różnym typom celów.",".50 BMG robbanópatron: Ezt a .50 BMG kaliberű töltényt úgy tervezték, hogy a golyó becsapódáskor felrobbanjon. A töredékek az ütközési pont körüli széles területen okozhatnak sérülést, így számos céltípussal szemben hatékonyak.","Cartuccia esplosiva .50 BMG: questa cartuccia calibro .50 BMG è progettata per far esplodere il proiettile all'impatto. I frammenti possono causare danni in un'ampia area attorno al punto d'impatto, rendendola efficace contro una varietà di tipi di bersaglio.","Cartucho explosivo .50 BMG: Este cartucho calibre .50 BMG está diseñado para que la bala explote al impactar. Los fragmentos pueden causar daños en una amplia zona alrededor del punto de impacto, lo que lo hace efectivo contra diversos tipos de objetivos.","Cartouche explosive .50 BMG : Cette cartouche de calibre .50 BMG est conçue pour faire exploser la balle à l'impact. Les fragments peuvent causer des dégâts sur une large zone autour du point d'impact, ce qui la rend efficace contre divers types de cibles.",.50 BMG 爆炸弹：这款 .50 BMG 口径子弹的设计目的是让子弹在撞击时爆炸。弹片可在撞击点周围的大面积区域造成伤害，使其能够有效打击各种类型的目标。,.50 BMG炸薬莢：この.50 BMG口径の弾薬莢は、着弾時に弾丸が炸裂するように設計されています。破片は着弾点周辺の広範囲に損傷を与えるため、様々な標的に対して効果的です。,"Cartucho Explosivo .50 BMG: Este cartucho de calibre .50 BMG foi projetado para fazer a bala explodir com o impacto. Os fragmentos podem causar danos em uma ampla área ao redor do ponto de impacto, tornando-o eficaz contra uma variedade de tipos de alvos.",.50 BMG 爆炸弹：这款 .50 BMG 口径子弹的设计目的是让子弹在撞击时爆炸。弹片可在撞击点周围的大面积区域造成伤害，使其能够有效打击各种类型的目标。,
STR_kr_weapons_ammo_50bmg_ET,Tracer Explosive .50 BMG cartridge,Tracer Explosive .50 BMG cartridge,Náboj Tracer Explosive .50 BMG,Leuchtspursprengstoffpatrone .50 BMG,Tрассирующий разрывной патрон .50 BMG,Nabój wybuchowy .50 BMG,Tracer Explosive .50 BMG patron,Cartuccia Tracer Explosive .50 BMG,Cartucho explosivo trazador .50 BMG,Cartouche Tracer Explosive .50 BMG,曳光弹 .50 BMG 弹药筒,曳光弾 .50 BMG 弾,Cartucho Tracer Explosive .50 BMG,曳光弹 .50 BMG 弹药筒,
STR_kr_weapons_ammo_50bmg_ET_dsc,".50 BMG Tracer Explosive Cartridge: This .50 BMG caliber cartridge also includes a tracer element that creates a luminous trail in the air. Combined with the explosive design, this allows the shooter to see the bullet's point of impact even at long distances and in low-light conditions.",".50 BMG Tracer Explosive Cartridge: This .50 BMG caliber cartridge also includes a tracer element that creates a luminous trail in the air. Combined with the explosive design, this allows the shooter to see the bullet's point of impact even at long distances and in low-light conditions.","Výbušná kazeta .50 BMG Tracer: Tato kazeta ráže .50 BMG obsahuje také stopovací prvek, který vytváří světelnou stopu ve vzduchu. V kombinaci s výbušným designem to umožňuje střelci vidět místo dopadu střely i na velké vzdálenosti a za špatných světelných podmínek.",".50 BMG Leuchtspur-Sprengpatrone: Diese Patrone im Kaliber .50 BMG verfügt über ein Leuchtspurelement, das eine Leuchtspur in der Luft erzeugt. In Kombination mit dem explosiven Design ermöglicht dies dem Schützen, den Auftreffpunkt des Geschosses auch auf große Entfernungen und bei schlechten Lichtverhältnissen zu erkennen.",".50 BMG трассирующий разрывной патрон: Этот патрон также калибра .50 BMG содержит трассирующий элемент, который создает светящийся след в воздухе. В сочетании с разрывной конструкцией, это позволяет стрелку видеть точку удара пули даже на больших дистанциях и в темных условиях.","Nabój wybuchowy .50 BMG Tracer: Ten nabój kalibru .50 BMG zawiera również element smugowy, który tworzy świetlisty ślad w powietrzu. W połączeniu z wybuchową konstrukcją pozwala to strzelcowi zobaczyć punkt uderzenia pocisku nawet z dużej odległości i w warunkach słabego oświetlenia.",".50 BMG Tracer robbanópatron: Ez a .50 BMG kaliberű patron egy nyomjelző elemet is tartalmaz, amely fényes nyomvonalat hoz létre a levegőben. A robbanékony kialakítással kombinálva ez lehetővé teszi a lövész számára, hogy még nagy távolságon és gyenge fényviszonyok között is lássa a golyó becsapódási pontját.","Cartuccia esplosiva tracciante .50 BMG: questa cartuccia calibro .50 BMG include anche un elemento tracciante che crea una scia luminosa nell'aria. In combinazione con il design esplosivo, questo permette al tiratore di vedere il punto d'impatto del proiettile anche a lunghe distanze e in condizioni di scarsa illuminazione.","Cartucho explosivo trazador .50 BMG: Este cartucho calibre .50 BMG también incluye un elemento trazador que crea una estela luminosa en el aire. Combinado con su diseño explosivo, permite al tirador ver el punto de impacto de la bala incluso a largas distancias y en condiciones de poca luz.","Cartouche explosive traçante .50 BMG : Cette cartouche de calibre .50 BMG comprend également un élément traceur qui crée une traînée lumineuse dans l'air. Grâce à sa conception explosive, le tireur peut voir le point d'impact de la balle, même à longue distance et dans des conditions de faible luminosité.",.50 BMG曳光弹：这款.50 BMG口径子弹还包含曳光元素，可在空中形成发光尾迹。结合曳光设计，即使在远距离和弱光条件下，射手也能看清子弹的落点。,.50 BMG曳光弾：この.50 BMG口径弾には、空中に光の軌跡を残す曳光弾も含まれています。この曳光弾と炸薬設計を組み合わせることで、射手は遠距離や暗い場所でも弾丸の着弾点を視認できます。,"Cartucho Traçante Explosivo .50 BMG: Este cartucho calibre .50 BMG também inclui um elemento traçador que cria um rastro luminoso no ar. Combinado com o design explosivo, isso permite que o atirador veja o ponto de impacto do projétil mesmo a longas distâncias e em condições de pouca luz.",.50 BMG曳光弹：这款.50 BMG口径子弹还包含曳光元素，可在空中形成发光尾迹。结合曳光设计，即使在远距离和弱光条件下，射手也能看清子弹的落点。,
