Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_magazines_9x19_kurtz_std_20Rnd,MP5 9x19 20 Rnd,MP5 9x19 20 Rnd,MP5 9x19 20 Rnd,MP5 9x19 20 Rnd,MP5 9x19 20 Пт,MP5 9x19 20 Rnd,MP5 9x19 20 Rnd,MP5 9x19 20 giro,MP5 9x19 20 vueltas,MP5 9x19 20 tours,MP5 9x19 20 轮,MP5 9x19 20 ラウンド,MP5 9x19 20 voltas,MP5 9x19 20 轮,
STR_kr_magazines_9x19_kurtz_std_20Rnd_dsc,20-round 9x19 magazine for MP5.,20-round 9x19 magazine for MP5.,20ranný zásobník 9x19 pro MP5.,20-Schuss-9x19-Magazin für MP5.,Магазин 9x19 для MP5 на 20 патронов.,20-nabojowy magazynek 9x19 do MP5.,20 körös 9x19-es tár MP5-höz.,Caricatore 9x19 da 20 colpi per MP5.,Cargador de 20 balas 9x19 para MP5.,Chargeur 9x19 de 20 coups pour MP5.,MP5 的 20 发 9x19 弹匣。,MP5用の20発9x19マガジン。,Carregador 9x19 de 20 cartuchos para MP5.,MP5 的 20 发 9x19 弹匣。,
STR_kr_magazines_9x19_std_curved_30Rnd,MP5 9x19 30 Rnd,MP5 9x19 30 Rnd,MP5 9x19 30 Rnd,MP5 9x19 30 Rnd,MP5 9x19 30 Пт,MP5 9x19 30 Rnd,MP5 9x19 30 Rnd,MP5 9x19 30 giro,MP5 9x19 30 vueltas,MP5 9x19 30 tours,MP5 9x19 30 轮,MP5 9x19 30 ラウンド,MP5 9x19 30 voltas,MP5 9x19 30 轮,
STR_kr_magazines_9x19_std_curved_30Rnd_dsc,30-round 9x19 magazine for MP5.,30-round 9x19 magazine for MP5.,30ranný zásobník 9x19 pro MP5.,30-Schuss-9x19-Magazin für MP5.,Магазин 9x19 для MP5 на 30 патронов.,30-nabojowy magazynek 9x19 do MP5.,30 körös 9x19-es tár MP5-höz.,Caricatore 9x19 da 30 colpi per MP5.,Cargador de 30 balas 9x19 para MP5.,Chargeur 9x19 de 30 coups pour MP5.,MP5 的 30 发 9x19 弹匣。,MP5用の30発9x19マガジン。,Carregador 9x19 de 30 cartuchos para MP5.,MP5 的 30 发 9x19 弹匣。,
STR_kr_magazines_9x19_x_product_50Rnd,MP5 9x19 X Products 50 Rnd,MP5 9x19 X Products 50 Rnd,MP5 9x19 X Produkty 50 Rnd,MP5 9x19 X Produkte 50 Rnd,X Products 9x19 50 Пт,MP5 9x19 X Produkty 50 szt,MP5 9x19 X Termékek 50 Rnd,MP5 9x19 X Prodotti 50 Rnd,MP5 9x19 X Productos 50 Rnd,MP5 9x19 X Produits 50 tours,MP5 9x19 X 产品 50 轮,MP5 9x19 X 製品 50 位,MP5 9x19 X Produtos 50 Rnd,MP5 9x19 X 产品 50 轮,
STR_kr_magazines_9x19_x_product_50Rnd_dsc,50-round 9x19 magazine for MP5.,50-round 9x19 magazine for MP5.,50ranný zásobník 9x19 pro MP5.,50-Schuss-9x19-Magazin für MP5.,Магазин 9x19 для MP5 на 50 патронов.,Magazynek 9x19 na 50 nabojów do MP5.,50 körös 9x19-es tár MP5-höz.,Caricatore 9x19 da 50 colpi per MP5.,Cargador de 50 balas 9x19 para MP5.,Chargeur 50 coups 9x19 pour MP5.,MP5 的 50 发 9x19 弹匣。,MP5用の50発9x19マガジン。,Carregador 9x19 de 50 cartuchos para MP5.,MP5 的 50 发 9x19 弹匣。,
STR_kr_magazines_12x76_izhmash_Sb5,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 Rnd,Сб.5 12x76 5 Пт,SOK-12 12/76 s. 5 5 Rnd,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 Vueltas,SOK-12 12/76 sb.5 5 tours,SOK-12 12/76 sb.5 5 Rnd,SOK-12 12/76 sb.5 5 ラウンド,SOK-12 12/76 sb.5 5 voltas,SOK-12 12/76 sb.5 5 Rnd,
STR_kr_magazines_12x76_izhmash_Sb5_dsc,"5-round Sb.5 polymer plastic magazine for SOK-12 and compatible weapons, intended for use with 12/76 or 12/70 shells. ","5-round Sb.5 polymer plastic magazine for SOK-12 and compatible weapons, intended for use with 12/76 or 12/70 shells. ","5ranný polymerový plastový zásobník Sb.5 pro SOK-12 a kompatibilní zbraně, určený pro použití s ​​náboji 12/76 nebo 12/70. ","5-Schuss-Sb.5-Polymerkunststoffmagazin für SOK-12 und kompatible Waffen, vorgesehen für die Verwendung mit 12/76- oder 12/70-Granaten. ","5-ти зарядный полимерный магазин Сб.5, под патрон 12/70, 12/76 для СОК-12 и совместимых.","5-nabojowy magazynek z tworzywa polimerowego Sb.5 do broni SOK-12 i kompatybilnej, przeznaczony do stosowania z nabojami 12/76 lub 12/70. ","5 golyós Sb.5 polimer műanyag tár SOK-12 és kompatibilis fegyverekhez, 12/76 vagy 12/70 lövedékekkel való használatra. ","Caricatore in plastica polimerica Sb.5 da 5 colpi per SOK-12 e armi compatibili, destinato all'uso con proiettili 12/76 o 12/70. ","Cargador de plástico polímero Sb.5 de 5 rondas para SOK-12 y armas compatibles, diseñado para usar con proyectiles 12/76 o 12/70. ","Chargeur 5 coups en plastique polymère Sb.5 pour armes SOK-12 et compatibles, destiné à être utilisé avec des obus 12/76 ou 12/70. ",用于 SOK-12 和兼容武器的 5 发 Sb.5 聚合物塑料弹匣，适用于 12/76 或 12/70 炮弹。 ,SOK-12 および互換武器用の 5 ラウンド Sb.5 ポリマー プラスチック マガジン。12/76 または 12/70 砲弾での使用を目的としています。 ,"Carregador de plástico de polímero Sb.5 de 5 cartuchos para SOK-12 e armas compatíveis, destinado ao uso com cartuchos 12/76 ou 12/70. ",用于 SOK-12 和兼容武器的 5 发 Sb.5 聚合物塑料弹匣，适用于 12/76 或 12/70 炮弹。 ,
STR_kr_magazines_12x76_promag_sai_02,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 Rnd,ProMag SAI-02 12x76 10 Пт,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 Rnd,SOK-12 12/76 SAI-02 10 vueltas,SOK-12 12/76 SAI-02 10 tours,SOK-12 12/76 SAI-02 10 轮,SOK-12 12/76 SAI-02 10 ラウンド,SOK-12 12/76 SAI-02 10 Volta,SOK-12 12/76 SAI-02 10 轮,
STR_kr_magazines_12x76_promag_sai_02_dsc,SAI-02 10-round 12x76 magazine for SOK-12 and compatible weapons. ,SAI-02 10-round 12x76 magazine for SOK-12 and compatible weapons. ,SAI-02 10ranný zásobník 12x76 pro SOK-12 a kompatibilní zbraně. ,SAI-02 10-Schuss-12x76-Magazin für SOK-12 und kompatible Waffen. ,"10-ти зарядный полимерный магазин SAI-02, под патрон 12x70, 12x76 для СОК-12 и совместимых.",10-nabojowy magazynek SAI-02 12x76 do SOK-12 i kompatybilnej broni. ,SAI-02 10 lövedékes 12x76 tár SOK-12 és kompatibilis fegyverekhez. ,SAI-02 Caricatore da 10 colpi 12x76 per SOK-12 e armi compatibili. ,Cargador SAI-02 de 10 balas 12x76 para SOK-12 y armas compatibles. ,Chargeur SAI-02 10 coups 12x76 pour SOK-12 et armes compatibles. ,SAI-02 10 发 12x76 弹匣，适用于 SOK-12 和兼容武器。 ,SAI-02 SOK-12 および互換武器用の 10 発 12x76 マガジン。 ,SAI-02 Carregador de 10 cartuchos 12x76 para SOK-12 e armas compatíveis. ,SAI-02 10 发 12x76 弹匣，适用于 SOK-12 和兼容武器。 ,
