Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_kr_weapons_cold_fang,Knife 'Fang',Knife 'Fang',Nůž 'fang',Messer 'Fang',Нож 'Клык',"Nóż ""Fang""",Késsel 'fang',Coltello 'fang',Cuchillo 'Fang',COUTEAU 'FANG',刀子'fang',ナイフ「牙」,Faca 'Fang',刀子'fang'
STR_kr_weapons_cold_fang_dsc,"Razorly sharp, comfortable, well lies in hand. Great is suitable for cutting sausages and self-defense.","Razorly sharp, comfortable, well lies in hand. Great is suitable for cutting sausages and self-defense.","Razorly ostré, pohodlné, dobře leží v ruce. Skvělé je vhodné pro řezání klobásy a sebeobrany.","Razory Sharp, komfortabel, gut in der Hand. Toll ist geeignet, um Würste und Selbstverteidigung zu schneiden.","Бритвенно острый, удобный, хорошо лежит в руке. Отлично подходит как для резки колбасы, так и для самообороны.","Razorly Sharp, wygodne, dobrze leży w ręku. Świetnie nadaje się do cięcia kiełbas i samoobronę.","Razorosan éles, kényelmes, jól fekszik a kezében. Nagyszerű a kolbászok és az önvédelem vágására alkalmas.","Razorly Sharp, comodo, bene si trova in mano. Ottimo è adatto per tagliare salsicce e autodifesa.","Razory Sharp, cómodo, bueno, se encuentra en la mano. Grande es adecuado para cortar salchichas y autodefensa.","Razlly Sharp, confortable, bien réside dans la main. Great convient à la coupe des saucisses et de la légitime défense.",尖銳的鋒利，舒適，躺在手中。偉大適合切割香腸和自衛。,かみそうに鋭く、快適で、よく嘘をつきます。ソーセージと自衛隊の切断に最適です。,"Afiada lateral, confortável, bem encontra-se na mão. Ótimo é adequado para cortar salsichas e autodefesa.",尖锐的锋利，舒适，躺在手中。伟大适合切割香肠和自卫。
STR_kr_weapons_cold_huntersknife,Knife hunter,Knife hunter,Lovec nože,Messerjäger,Нож охотника,Łowca noża.,Késte vadász,Hunter.,Cazador de cuchillos,Chasseur de couteau,刀獵人,ナイフハンター,Caçador de faca,刀猎人
STR_kr_weapons_cold_huntersknife_dsc,Excellent balanced knife. Indispensable assistant of any hunter,Excellent balanced knife. Indispensable assistant of any hunter,Vynikající vyvážený nůž. Nepostradatelný asistent libovolného lovce,Ausgezeichnetes ausgewogenes Messer. Unverzichtbarer Assistent eines Jägers,Отлично сбалансированный нож. Незаменимый помошник любого охотника,Doskonały zrównoważony nóż. Niezbędny asystent dowolnego łowcy,Kiváló kiegyensúlyozott kés. Elengedhetetlen asszisztens bármely vadász,Eccellente coltello equilibrato. Assistente indispensabile di qualsiasi cacciatore,Excelente cuchillo equilibrado. Asistente indispensable de cualquier cazador.,Excellent couteau équilibré. Assistant indispensable de tout chasseur,優秀的平衡刀。任何獵人的不可或缺的助手,優れたバランスナイフ。どのハンターの不可欠なアシスタント,Excelente faca equilibrada. Assistente indispensável de qualquer caçador,优秀的平衡刀。任何猎人的不可或缺的助手
STR_kr_weapons_cold_Jagdkommando,Jagdkommando.,Jagdkommando.,Jagdkommando.,Jagdkommando.,Jagdkommando,Jagdkomando.,Jagdkommando.,Jagdkommando.,Jagdkommando.,Jagdkommando.,Jagdkommando。,Jagdkommando。,Jagdkommando.,Jagdkommando。
STR_kr_weapons_cold_Jagdkommando_dsc,"The blade Jagdkommando has three razorly sharp cutting edges swirling at the point-point. This form is intended for easy penetration into the body and cause the greatest harm to the victim. In this regard, Jagdkommando remind a three-moisture bayonet: the wounds applied to them are delayed much harder than from a simple knife. It is enough just to turn the knife in the wound slightly slightly - and it will turn into a torn bloody messenger.","The blade Jagdkommando has three razorly sharp cutting edges swirling at the point-point. This form is intended for easy penetration into the body and cause the greatest harm to the victim. In this regard, Jagdkommando remind a three-moisture bayonet: the wounds applied to them are delayed much harder than from a simple knife. It is enough just to turn the knife in the wound slightly slightly - and it will turn into a torn bloody messenger.","Čepel Jagdkommando má tři razorně ostré řezné hrany vířící v bodě bodu. Tato forma je určena pro snadnou pronikání do těla a způsobit největší poškození oběti. V tomto ohledu, Jagdkommando připomínají tři-vlhké bajonet: rány aplikované na ně jsou zpožděny mnohem těžší než z jednoduchého nože. Stačí jen tak mírně otočit nůž v poranění - a to se změní na roztrhaný krvavý posel.","Die Klinge Jagdkommando verfügt über drei rasierend scharfe Schneidkanten, die am Point-Punkt wirbeln. Dieses Formular ist für ein leichtes Eindringen in den Körper bestimmt und verursacht dem größten Schaden des Opfers. In dieser Hinsicht erinnert sich Jagdkommando an ein Drei-Feuchter-Bajonett: Die an sie angewendeten Wunden verzögert sich viel härter als von einem einfachen Messer. Es reicht aus, nur leicht das Messer in die Wunde etwas leicht zu drehen - und es wird zu einem zerrissenen blutigen Messenger.","Лезвие Jagdkommando имеет три бритвенно острых режущих кромки, закрученных в точку-острие. Такая форма предназначается для легкого проникновения в тело и нанесения наибольшего вреда жертве. В этом плане Jagdkommando напоминае трехгранный штык: раны, нанесенные им, затягиваются куда тяжелее, нежели от простого ножа. Достаточно лишь слегка провернуть нож в ране — и она превратится в рваное кровавое месиво.","Ostrze Jagdkomando ma trzy żyletne ostre krawędzie tnące w punkcie. Ten formularz jest przeznaczony do łatwej penetracji do ciała i spowodować największą szkodę ofiary. W tym względzie Jagdkomando przypomina trzy-wilgotnej bagnetie: rany stosowane do nich są opóźnione znacznie trudniejsze niż z prostego noża. Wystarczy, żeby zamknąć nóż w rany lekko lekko - i zamieni się w podarty krwawy posłańca.","A penge Jagdkommando három razorly éles vágóélekkel örvénylő a pont-pont. Ez az űrlap a testbe való könnyű behatolásra szolgál, és a legnagyobb kárt okoz az áldozatnak. Ebben a tekintetben Jagdkommando emlékeztet egy háromnedves bayonetre: az általuk alkalmazott sebek sokkal nehezebbek, mint egy egyszerű kés. Elég, ha kissé enyhén megfordulni a kést a sebbe -, és egy szakadt véres hírnökévé válik.","La lama Jagdkommando ha tre bordi di taglio rasorali che ruotano al punto del punto. Questa forma è destinata alla facile penetrazione nel corpo e causare il più grande danno alla vittima. A questo proposito, Jagdkommando ricorda a una baionetta a tre umidità: le ferite applicate a loro sono ritardate molto più difficili che da un semplice coltello. È sufficiente trasformare il coltello nella ferita leggermente leggermente - e si trasformerà in un messaggero strappato.","La hoja Jagdkommando tiene tres bordes de corte afilados afilados que giran en el punto de vista. Este formulario está destinado a una fácil penetración en el cuerpo y causar el mayor daño a la víctima. En este sentido, Jagdkommando recuerda a una bayoneta de tres humecturas: las heridas aplicadas a ellos se retrasan mucho más que desde un cuchillo simple. Sólo es suficiente para convertir el cuchillo en la herida ligeramente ligeramente, y se convertirá en un Messenger Bloody Torn.","La lame Jagdkommando a trois arêtes de coupe rasoir Sharp tourbillonnant au point de point. Ce formulaire est destiné à une pénétration facile dans le corps et à causer le préjudice le plus élevé à la victime. À cet égard, Jagdkommando rappelle une baïonnette à trois humides: les plaies qui leur sont appliquées sont retardées beaucoup plus difficiles qu'à un simple couteau. Il suffit de transformer le couteau dans la plaie légèrement légèrement - et il se transformera en un messager sanglant déchiré.",刀片jagdkommando在點點旋轉三個尖銳的鋒利的切割邊緣。這種形式旨在簡單地滲透到身體中，並對受害者造成最大的傷害。在這方面，Jagdkommando提醒一個三種水分刺刀：施加到它們的傷口延遲比簡單的刀更難。它足以讓傷口稍微稍微轉動刀子 - 它會變成一個撕裂的血腥信使。,Blade Jagdkommandoには、ポイントポイントで3つのかみそう鋭い鋭い刃先が旋回しています。この形式は体内への容易な浸透を意図し、犠牲者に最大の害を及ぼします。この点に関して、Jagdkommandoは三湿気のバヨネットを思い出させる：それらに適用される傷は単純なナイフよりもはるかに困難です。傷の中のナイフをわずかにわずかに回すだけで十分です - そしてそれは引き裂かれた血まみれのメッセンジャーに変わります。,"A lâmina Jagdkommando tem três bordas de corte afiado nas razões rodando no ponto de ponto. Este formulário é destinado a fácil penetração no corpo e cause o maior dano à vítima. A este respeito, Jagdkommando lembra uma baioneta de três umisture: as feridas aplicadas a elas estão atrasadas muito mais do que de uma faca simples. É o suficiente apenas para virar a faca na ferida ligeiramente ligeiramente - e vai se transformar em um mensageiro sangrento rasgado.",刀片jagdkommando在点点旋转三个尖锐的锋利的切割边缘。这种形式旨在简单地渗透到身体中，并对受害者造成最大的伤害。在这方面，Jagdkommando提醒一个三种水分刺刀：施加到它们的伤口延迟比简单的刀更难。它足以让伤口稍微稍微转动刀子 - 它会变成一个撕裂的血腥信使。
STR_kr_weapons_cold_karambit,Karambit,Karambit,Karambit,Karambit,Керамбит,Karambit,Karambit,Karambit,¡Karambit,Karambit,卡勒比特！,カラムビット！,Karambit,卡勒比特！
STR_kr_weapons_cold_karambit_dsc,"The word karambit is often translated as 'Claw Tiger', although the other name of the Knife of Lavi Ayam means 'rooster spur' (or in another version of the translation of the chicken spur). On the Sumatra, the knife is called a ""claw of an eagle '. The differences in the versions of the knife are associated with divergences of the names. On the first, 'tigerine' version of the Kerambit and the technique of working with it, the tigers' claws imitate - really techniques with the use of krambitis in many styles of the Slat belong to the Tiger Technical Arsenal (on Malayan - Harimau).","The word karambit is often translated as 'Claw Tiger', although the other name of the Knife of Lavi Ayam means 'rooster spur' (or in another version of the translation of the chicken spur). On the Sumatra, the knife is called a ""claw of an eagle '. The differences in the versions of the knife are associated with divergences of the names. On the first, 'tigerine' version of the Kerambit and the technique of working with it, the tigers' claws imitate - really techniques with the use of krambitis in many styles of the Slat belong to the Tiger Technical Arsenal (on Malayan - Harimau).","Slovo Karambit je často přeložen jako 'dráp tygr', i když druhý název nože Lavi Ayam znamená 'kohout stižen' (nebo v jiné verzi překladu kuřecího podnětu). Na Sumatře se nůž nazývá ""dráp orla"". Rozdíly ve verzích nože jsou spojeny s divergencemi názvů. Na první, ""tygerinské verzi Kerambit a techniku ​​práce s ním , drápy tygrů napodobují - skutečně techniky s využitím Krambitis v mnoha stylechách SLAT patří do Tiger Technical Arsenal (na Malayan - Harimau).","Das Wort Karambit wird oft als ""Claw Tiger"" übersetzt, obwohl der andere Name des Messers von Lavi Ayam ""Hahnsporn"" bedeutet (oder in einer anderen Version der Übersetzung des Hühnersporns). Auf dem Sumatra heißt das Messer als ""Klaue eines Adlers"". Die Unterschiede in den Versionen des Messers sind mit unterschiedlichen Divergenzen der Namen verbunden. In der ersten, ""Tigerin-Version des Kerambits und der Technik der Arbeit mit ihm Die Tigerklauen nachahmen - wirklich Techniken mit der Verwendung von Krambitis in vielen Stilrichtungen der Slat gehören zum Tigent Technical Arsenal (auf Malayan - Harimau).","Слово Karambit зачастую переводят как 'коготь тигра', хотя другое название ножа лави аям означает 'петушиная шпора' (или в другом варианте перевода 'шпора цыпленка'). На Суматре сходный по форме с керамбитом нож называется 'коготь орла'. С разночтениями в переводе названия связано различие в версиях происхождения ножа. По первой, 'тигриной' версии керамбит и техника работы с ним были созданы в подражание когтям тигра - действительно приемы с применением керамбита во многих стилях силата относятся к техническому арсеналу тигра (на малайском - харимау).","Słowo Karambit jest często tłumaczony jako ""pazurowy tygrys"", choć druga nazwa noża w Lavi Ayam oznacza ""Rooster Spur"" (lub w innej wersji tłumaczenia ostrogi kurczaka). Na Sumatrze nóż nazywany jest ""pazurami orła"". Różnice w wersjach noża są związane z rozbieżnościami nazw. Po pierwsze, ""Tygrysa"" wersji Kerambit i techniki współpracy z nim, pazurami tygrysów naśladuje - Naprawdę techniki stosowania Krambitis w wielu stylach siatków należy do Tiger Technical Arsenal (na Malajaju - Harimau) .","A karambit szót gyakran ""karmos tigris"" -ként fordítják le, bár a Lavi Ayam késének másik neve azt jelenti, hogy a ""kakas spur"" (vagy a csirke spur fordításának másik változata). A Sumatra-on a kést egy ""sas karjolásának"" nevezik. A kés változatainak különbségei a nevek eltéréseihez kapcsolódnak. A Kerbit első, ""tollin"" változata és a vele való munka technikája a tigris karmai utánozni - tényleg technikák használatával krambitis sok stílus a léc tartozik a Tiger Műszaki Arsenal (a maláj - Harimau).","La parola karambit è spesso tradotta come ""tigre di artiglio"", anche se l'altro nome del coltello di Lavi Ayam significa ""rooster stimolante"" (o in un'altra versione della traduzione dello sperone di pollo). Su Sumatra, il coltello è chiamato ""artiglio di un'aquila"". Le differenze nelle versioni del coltello sono associate a divergenze dei nomi. Nella prima versione ""tigerina"" del kerambit e della tecnica di lavorare con esso , gli artigli delle tigri imitano - davvero tecniche con l'uso di krambite in molti stili della lamella appartengono all'Arsenal Technical Tiger (su Malayan - Harimau).","La palabra karambit se traduce a menudo como 'Tigre de garra', aunque el otro nombre del cuchillo de Lavi Ayam significa 'Rooster Spur' (o en otra versión de la traducción del espolón de pollo). En la Sumatra, el cuchillo se llama ""garra de un águila"". Las diferencias en las versiones de la cuchilla están asociadas con divergencias de los nombres. En la primera versión 'tigerine' de Kerambit y la técnica de trabajar con él. , las garras de los tigres imitan, las técnicas realmente con el uso de krambitis en muchos estilos del slat pertenecen al arsenal técnico del tigre (en Malayan - Harimau).","Le mot karambit est souvent traduit par «Tigre de griffe», bien que l'autre nom du couteau de Lavi Ayam signifie «éperon de coq» (ou dans une autre version de la traduction de l'éperon de poulet). Sur le Sumatra, le couteau s'appelle une ""griffe d'un aigle"". Les différences entre les versions du couteau sont associées à des divergences des noms. Sur la première, la version 'Tigerine' du Kerambit et la technique de travailler avec elle Les griffes des tigres imitent - vraiment des techniques avec l'utilisation de krambite dans de nombreux styles de la latte appartiennent à l'arsenal technique Tiger (sur Malayan - Harimau).",Karambit這個詞通常被翻譯為“爪虎”，儘管Lavi Ayam刀的另一個名字意味著'公雞刺激'（或在雞刺的另一個版本中）。在蘇門答臘上，刀被稱為“鷹的爪子”。刀具版本的差異與名稱的分歧相關。在第一個，'妻子'版的Kerambit和與之合作的技術，Tigers的爪子模仿 - 在許多曲線中使用krambitis的技術，屬於Tiger Technical Arsenal（Malayan  -  Harimau）。,Karambitという言葉はしばしば「爪Tiger」として翻訳されていますが、Lavi Ayamのナイフの他の名前は「オンドリスプル」を意味します（またはチキンスプルの翻訳の別のバージョンで）。スマトラでは、ナイフは「イーグルの爪」と呼ばれています。ナイフのバージョンの違いは、名前の発散に関連しています。最初の「Tigerine」バージョンのKerambitとそれを扱う技術、Tigersの爪は模倣しています - スラットの多くのスタイルのKrambitisを使用した本当にテクニックがTiger Technical Arsenal（マラヤ - ハリマウ）に属しています。,"A palavra Karambit é frequentemente traduzida como 'garra tigre', embora o outro nome da faca de Lavi Ayam significa ""esporão de galo"" (ou em outra versão da tradução do esporão de frango). No Sumatra, a faca é chamada de ""garra de uma águia"". As diferenças nas versões da faca estão associadas a divergências dos nomes. Na primeira, a versão ""Tigina"" do Kerambit e a técnica de trabalhar com ele , as garras dos tigres imitam - realmente técnicas com o uso de kambitle em muitos estilos da Slat pertencem ao Arsenal Técnico do Tigre (em Malayan - Harimau).",Karambit这个词通常被翻译为“爪虎”，尽管Lavi Ayam刀的另一个名字意味着'公鸡刺激'（或在鸡刺的另一个版本中）。在苏门答腊上，刀被称为“鹰的爪子”。刀具版本的差异与名称的分歧相关。在第一个，'妻子'版的Kerambit和与之合作的技术，Tigers的爪子模仿 - 在许多曲线中使用krambitis的技术，属于Tiger Technical Arsenal（Malayan  -  Harimau）。
STR_kr_weapons_cold_katana,Katana,Katana,Katana,Katana,Катана,Katana.,Katana,Katana,Katana,Katana,卡塔納,カタナ,Katana.,卡塔纳
STR_kr_weapons_cold_katana_dsc,"In the form of Krinka Katana resembles a checker, but it is straight and long to handle, which allows the use of two-handed grabs. We are missing. Small bending of a blade and a sharp end allow you to apply also stuck","In the form of Krinka Katana resembles a checker, but it is straight and long to handle, which allows the use of two-handed grabs. We are missing. Small bending of a blade and a sharp end allow you to apply also stuck","Ve formě Krkké Katana se připomíná kontrolu, ale je rovná a dlouho zvládnout, což umožňuje použití obouručních uchopení. Chybí nám. Malé ohýbání čepele a ostrý konec vám umožní aplikovat také uvízl","In Form von Krinka ähnelt Krinka Katana einem Checker, aber es ist gerade und lang zu handhaben, was den Einsatz von Zweihändigermaßen ermöglicht. Wir vermissen. Kleines Biegen einer Klinge und ein scharfes Ende ermöglichen es Ihnen, sich auch anzunehmen","По форме клинка катана напоминает шашку, однако рукоять у неё прямая и длинная, что позволяет использовать двуручный хват. Навершие отсутствует. Небольшой изгиб клинка и острый конец позволяют наносить также и колющие удары","W formie Kratka Katana przypomina sprawdzanie, ale jest proste i długie, aby obsłużyć, co pozwala na użycie zabrudzeń dwuręcznych. Brakuje nam. Małe zginanie ostrza i ostry koniec pozwalają na zastosowanie również utknął","Krata formájában Katana hasonlít egy ellenőrzőre, de egyenes és hosszú, hogy kezelje, ami lehetővé teszi a kétkezes megragadás használatát. Hiányzik. A penge kis hajlítása és egy éles vége lehetővé teszi, hogy alkalmazzák is","Nella forma di Krinka Katana assomiglia a un checker, ma è dritto e lungo da gestire, che consente l'uso di prese a due mani. Ci mancano. Piccola flessione di una lama e un estremo acuto consente di applicare anche bloccato","En forma de Krinka Katana se asemeja a un corrector, pero es recto y largo para manejar, lo que permite el uso de agarras con dos manos. Faltan. La flexión pequeña de una cuchilla y un extremo afilado le permiten aplicar también atascado","Sous la forme de Krainka Katana ressemble à un vérificateur, mais il est droit et long à gérer, ce qui permet d'utiliser des accessoires à deux mains. Nous manquons. Petite flexion d'une lame et une fin forte vous permettent d'appliquer également bloqué",以Krinka Katana的形式類似於檢查員，但它是直的，手柄直，這允許使用雙手抓斗。我們缺少。刀片的小彎曲和尖銳的末端允許您申請卡住,Krinka Katanaの形ではチェッカーに似ていますが、まっすぐで、扱うのはまっすぐです。行方不明です。刃と鋭い端の小さな曲がりくねって、あなたが貼り付けることができます,"Na forma de Krinka Katana se assemelha a um verificador, mas é reto e longo para lidar, o que permite o uso de pegas de duas mãos. Estamos faltando. Pequena flexão de uma lâmina e uma extremidade afiada permitem que você aplique também preso",以Krinka Katana的形式类似于检查员，但它是直的，手柄直，这允许使用双手抓斗。我们缺少。刀片的小弯曲和尖锐的末端允许您申请卡住
