Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_slot_bipod,Bipod,Bipod,Dvojnožka,Zweibein,Сошки,Dwójnóg,Kétlábú állvány,Bipiede,Bípode,Bipied,两脚架,バイポッド,Bipé,两脚架,
STR_kr_slot_m4_pistolgrip,AR pistol grip,AR pistol grip,AR pistolová rukojeť,AR-Pistolengriff,Пистолетная рукоять AR,Uchwyt pistoletowy AR,AR pisztoly markolat,impugnatura a pistola AR,Empuñadura de pistola AR,poignée pistolet AR,AR手枪式握把,ARピストルグリップ,Empunhadura de pistola AR,AR手枪式握把,
STR_kr_slot_fal_pistolgrip,FAL pistol grip,FAL pistol grip,Pistolová rukojeť FAL,FAL Pistolengriff,Пистолетная рукоять FAL,Uchwyt pistoletowy FAL,FAL pisztolymarkolat,Impugnatura a pistola FAL,Empuñadura de pistola FAL,Poignée pistolet FAL,FAL手枪式握把,FALピストルグリップ,Empunhadura de pistola FAL,FAL手枪式握把,
STR_kr_slot_ak_pistolgrip,AK pistol grip,AK pistol grip,Pistolová rukojeť AK,AK-Pistolengriff,Пистолетная рукоять АК,Chwyt pistoletowy AK,AK pisztoly markolat,impugnatura della pistola AK,Empuñadura de pistola AK,poignée pistolet AK,AK手枪式握把,AKピストルグリップ,Punho de pistola AK,AK手枪式握把,
STR_kr_slot_muzzle338,muzzle .338,muzzle .338,tlama .338,Mündung .338,Дульное устройство .338,lufa .338,pofa .338,volata .338,boca del cañón .338,canon .338,枪口.338,銃口 .338,cano .338,枪口.338,
STR_kr_slot_muzzle308,muzzle .308,muzzle .308,tlama .308,Mündung .308,Дульное устройство .308,lufa .308,pofa .308,volata .308,boca del cañón .308,canon .308,枪口.308,銃口 .308,cano .308,枪口.308,
STR_kr_slot_muzzle762_39,muzzle 7.62x39,muzzle 7.62x39,"náhubek 7,62x39","Mündung 7,62x39",Дульное устройство 7.62x39,"wylot lufy 7,62x39","pofa 7,62x39",volata 7.62x39,"boca 7,62x39","museau 7,62x39",枪口 7.62x39,銃口7.62x39,"focinho 7,62x39",枪口 7.62x39,
STR_kr_slot_muzzle762_54_mosin,muzzle 7.62x54 Mosin,muzzle 7.62x54 Mosin,"čenich 7,62x54 Mosin","Mündung 7,62 x 54 Mosin",ДУ для винтовки Мосина,"lufa 7,62x54 Mosin","szájkosár 7,62x54 Mosin",volata 7.62x54 Mosin,"boca 7,62x54 Mosin","museau 7,62x54 Mosin",枪口 7.62x54 莫辛,銃口 7.62x54 モシン,"focinho 7,62x54 Mosin",枪口 7.62x54 莫辛,
STR_kr_slot_muzzle762_54,muzzle 7.62x54,muzzle 7.62x54,"náhubek 7,62x54","Mündung 7,62x54",Дульное устройство 7.62x54,"wylot lufy 7,62x54","fang 7,62x54",volata 7.62x54,"boca 7,62x54","museau 7,62x54",枪口 7.62x54,銃口7.62x54,"focinho 7,62x54",枪口 7.62x54,
STR_kr_slot_kr_muzzle12_76,muzzle 12x76,muzzle 12x76,náhubek 12x76,Mündung 12x76,Дульное устройство 12x76,kaganiec 12x76,szájkosár 12x76,volata 12x76,boca 12x76,museau 12x76,枪口 12x76,銃口 12x76,focinho 12x76,枪口 12x76,
STR_kr_slot_muzzle127_55,muzzle 12.7x55,muzzle 12.7x55,"náhubek 12,7x55","Mündung 12,7x55",Дульное устройство 12.7x55,"wylot lufy 12,7x55","pofa 12,7x55","volata 12,7x55","boca 12,7x55","museau 12,7x55",枪口 12.7x55,銃口12.7x55,"focinho 12,7x55",枪口 12.7x55,
STR_kr_slot_muzzle545,muzzle 5.45x39,muzzle 5.45x39,"náhubek 5,45x39","Mündung 5,45x39",Дульное устройство 5.45x39,"wylot lufy 5,45x39","pofa 5,45x39",volata 5.45x39,"boca 5,45x39","museau 5,45x39",枪口 5.45x39,銃口5.45x39,"focinho 5,45x39",枪口 5.45x39,
STR_kr_slot_muzzle50bmg,muzzle .50 BMG,muzzle .50 BMG,tlama .50 BMG,Mündung .50 BMG,Дульное устройство .50BMG,lufa .50 BMG,szájkosár .50 BMG,volata .50 BMG,boca del cañón .50 BMG,canon .50 BMG,枪口.50 BMG,銃口 .50 BMG,cano .50 BMG,枪口.50 BMG,
STR_kr_slot_muzzle556,muzzle 5.56x45,muzzle 5.56x45,"náhubek 5,56x45","Mündung 5,56x45",Дульное устройство 5.56x45,"wylot lufy 5,56x45","pofa 5,56x45",volata 5.56x45,"boca 5,56x45","museau 5,56x45",枪口 5.56x45,銃口5.56x45,"focinho 5,56x45",枪口 5.56x45,
STR_kr_slot_ak_bttstck,AK buttstock,AK buttstock,Pažba AK,AK-Schaft,Приклад АК,Kolba AK,AK popsi,Calcio AK,Culata AK,crosse AK,AK枪托,AKのストック,coronha AK,AK枪托,
STR_kr_slot_ak_fbttstck,AK folding buttstock,AK folding buttstock,AK skládací pažba,AK Klappschaft,Складной приклад АК,Kolba składana AK,AK összecsukható fenék,Calcio pieghevole AK,Culata plegable AK,crosse pliante AK,AK折叠枪托,AK折りたたみ式ストック,Coronha dobrável AK,AK折叠枪托,
STR_kr_slot_aks74u_hndgrd,aks74u handguard,aks74u handguard,předpažbí aks74u,aks74u Handschutz,Цевье АКС74у,osłona dłoni aks74u,aks74u kézvédő,paramano aks74u,Guardamanos aks74u,garde-main aks74u,aks74u护手,aks74uハンドガード,protetor de mão aks74u,aks74u护手,
STR_kr_slot_ak_receiver,AK receiver,AK receiver,přijímač AK,AK-Empfänger,Крышка АК,Odbiornik AK,AK vevő,ricevitore AK,Receptor AK,récepteur AK,AK接收器,AKレシーバー,Receptor AK,AK接收器,
STR_kr_slot_ak_hndgrd,AK handguard,AK handguard,AK předpažbí,AK-Handschutz,Цевье АК,Osłona dłoni AK,AK kézvédő,Paramano AK,Guardamanos AK,garde-main AK,AK护手,AKハンドガード,Protetor de mão AK,AK护手,
STR_kr_slot_weapon_tube,Tube,Tube,Trubice,Rohr,Трубка,Rura,Cső,Tubo,Tubo,Tube,管子,チューブ,Tubo,管子,
STR_kr_slot_kr_ar15_tube,AR tube,AR tube,AR trubice,AR-Röhre,Трубка AR,Rura AR,AR cső,Tubo AR,Tubo AR,tube AR,AR管,ARチューブ,Tubo AR,AR管,
STR_kr_slot_kr_ar15_charging,AR charging handle,AR charging handle,AR nabíjecí rukojeť,AR-Ladegriff,Рукоять затвора AR,Dźwignia ładowania AR,AR töltő fogantyú,Maniglia di ricarica AR,Mango de carga AR,Poignée de chargement AR,AR充电手柄,ARチャージングハンドル,Alça de carregamento AR,AR充电手柄,
STR_kr_slot_katana,Katana,Katana,Katana,Katana,Катана,Katana,Katana,Katana,Katana,Katana,武士刀,刀,Katana,武士刀,
STR_kr_slot_ar10_hndgrd,AR10 handguard,AR10 handguard,Předpažbí AR10,AR10 Handschutz,Цевье AR10,Osłona dłoni AR10,AR10 kézvédő,Paramano AR10,Guardamanos AR10,garde-main AR10,AR10护手,AR10ハンドガード,Protetor de mão AR10,AR10护手,
STR_kr_slot_rpk16_hndgrd,RPK16 handguard,RPK16 handguard,Předpažbí RPK16,RPK16 Handschutz,Цевье РПК16,Osłona dłoni RPK16,RPK16 kézvédő,Paramano RPK16,Guardamanos RPK16,Garde-main RPK16,RPK16护手,RPK16ハンドガード,Protetor de mão RPK16,RPK16护手,
STR_kr_slot_mk18_hndgrd,MK18 handguard,MK18 handguard,Předpažbí MK18,MK18 Handschutz,Цевье Mk18,Osłona dłoni MK18,MK18 kézvédő,Paramano MK18,Guardamanos MK18,garde-main MK18,MK18护木,MK18ハンドガード,Protetor de mão MK18,MK18护木,
STR_kr_slot_rpk16_bttstck,RPK16 buttstock,RPK16 buttstock,Pažba RPK16,RPK16-Schaft,Приклад РПК16,Kolba RPK16,RPK16 fenék,Calcio RPK16,Culata RPK16,crosse RPK16,RPK16枪托,RPK16 バットストック,coronha RPK16,RPK16枪托,
STR_kr_slot_kr_ar_bttstck,AR buttstock,AR buttstock,AR pažba,AR-Schaft,Приклад AR,Kolba AR,AR popsi,Calcio AR,Culata AR,crosse AR,AR枪托,AR バットストック,coronha AR,AR枪托,
STR_kr_slot_hk416_hndgrd,HK416 handguard,HK416 handguard,Předpažbí HK416,HK416 Handschutz,Цевье HK416,Osłona dłoni HK416,HK416 kézvédő,Paramano HK416,Guardamanos HK416,Garde-main HK416,HK416护木,HK416ハンドガード,Protetor de mão HK416,HK416护木,
