Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_weapons_firearms_aks74u,AKS-74U,AKS-74U,AKS-74U,AKS-74U,АКС-74У,AKS-74U,AKS-74U,AKS-74U,Aks-74u,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U
STR_weapons_firearms_aks74u_dsc,"Reduced version of AKS-74 assault rifle, developed in the early 80s for combat vehicle crews and airborne troops, also became very popular with law enforcement and special forces for its compact size. ","Reduced version of AKS-74 assault rifle, developed in the early 80s for combat vehicle crews and airborne troops, also became very popular with law enforcement and special forces for its compact size. ","Snížená verze AKS-74 Assault Rifle, vyvinutá na počátku 80. let pro posádky bojových vozidel a vzdušných jednotek, se také stala velmi oblíbenou u vymáhání práva a speciálních sil pro jeho kompaktní velikost.","Eine reduzierte Version des AKS-74-Sturmgewehrs, die Anfang der 80er Jahre für Kampffahrzeugbesatzungen und in der Luft befindliche Truppen entwickelt wurden, wurde auch bei Strafverfolgungsbehörden und Spezialeinheiten für seine kompakte Größe sehr beliebt.","Укороченный вариант автомата АКС-74, был разработан в начале 80-х годов для вооружения экипажей боевой техники и десантников. Также пользуется популярностью в силовых структурах и спецподразделениях за свои компактные размеры.","Zmniejszona wersja karabinu szturmowego AKS-74, opracowana na początku lat 80. dla załóg pojazdów bojowych i żołnierzy powietrznych, również stała się bardzo popularna wśród organów ścigania i sił specjalnych ze względu na jego zwartą wielkość.","Az AKS-74 támadó puska csökkentett változata, amelyet a 80-as évek elején fejlesztettek ki a harci járművek és a légi csapatok számára, szintén nagyon népszerűvé vált a bűnüldözés és a különleges erők körében a kompakt méretük miatt.","La versione ridotta del fucile d'assalto AKS-74, sviluppata nei primi anni '80 per gli equipaggi dei veicoli da combattimento e le truppe aeree, è diventata molto popolare tra le forze dell'ordine e le forze speciali per le sue dimensioni compatte.","La versión reducida del rifle de asalto AKS-74, desarrollado a principios de los años 80 para equipos de vehículos de combate y tropas aéreas, también se hizo muy popular entre las fuerzas de la ley y las fuerzas especiales para su tamaño compacto.","Une version réduite du fusil d'assaut AKS-74, développée au début des années 80 pour les équipes de véhicules de combat et les troupes aéroportées, est également devenue très populaire auprès des forces de l'ordre et des forces spéciales pour sa taille compacte.",AKS-74突击步枪的简化版本是在80年代初为战斗机和空降部队开发的，也因其紧凑的规模而在执法和特种部队中也非常受欢迎。,80年代前半に戦闘車両の乗組員と空中軍のために開発されたAKS-74アサルトライフルの縮小バージョンも、そのコンパクトサイズで法執行機関や特殊部隊に非常に人気がありました。,"A versão reduzida do AKS-74 Assault Rifle, desenvolvida no início dos anos 80 para equipes de veículos de combate e tropas transportadas pelo ar, também se tornou muito popular entre as forças policiais e as forças especiais para seu tamanho compacto.",AKS-74突击步枪的简化版本是在80年代初为战斗机和空降部队开发的，也因其紧凑的规模而在执法和特种部队中也非常受欢迎。
STR_weapons_firearms_aks74un,AKS-74UN,AKS-74UN,AKS-74UN,AKS-74Un,АКС-74УН,AKS-74UN,AKS-74,Aks-74un,Aks-74un,AKS-74UN,AKS-74UN,AKS-74UN,AKS-74UN,AKS-74UN
STR_weapons_firearms_aks74un_dsc,"Reduced version of the AKS-74 assault rifle, developed in the early 80s for combat vehicle crews and airborne troops, also became very popular with law enforcement and special forces for its compact size. Mod.N (night) is equipped with a dovetail mount for the night scopes. ","Reduced version of the AKS-74 assault rifle, developed in the early 80s for combat vehicle crews and airborne troops, also became very popular with law enforcement and special forces for its compact size. Mod.N (night) is equipped with a dovetail mount for the night scopes. ","Snížená verze útočné pušky AKS-74, vyvinutá na počátku 80. let pro posádky bojových vozidel a vzdušných jednotek, se také stala velmi oblíbenou u vymáhání práva a speciálních sil pro jeho kompaktní velikost. Mod.N (noc) je vybaven horou na hory pro noční rozsahy.","Die reduzierte Version des AKS-74-Sturmgewehrs, das Anfang der 80er Jahre für Kampffahrzeugbesatzungen und in der Luft befindliche Truppen entwickelt wurde, wurde auch bei Strafverfolgungsbehörden und Spezialeinheiten für seine kompakte Größe sehr beliebt. Mod.n (Nacht) ist für die Nachtbereiche mit einem Schwalbenschwanzmontage ausgestattet.","Укороченный вариант автомата АКС-74, был разработан в начале 80-х годов для вооружения экипажей боевой техники и десантников. Модификация Н (ночной) оснащенная креплением «ласточкин хвост» для прицелов ночного видения.","Zmniejszona wersja karabinu szturmowego AKS-74, opracowana na początku lat 80. dla załóg pojazdów bojowych i żołnierzy powietrznych, również stała się bardzo popularna wśród organów ścigania i sił specjalnych ze względu na jego zwartą wielkość. MOD.N (noc) jest wyposażony w mocowanie do gąsienic do nocnych zakresów.","Az AKS-74 támadó puska csökkentett változata, amelyet a 80-as évek elején fejlesztettek ki a harci járművek személyzetének és a légi csapatoknak, szintén nagyon népszerűvé vált a bűnüldözés és a speciális erők körében. A mod.n (éjszaka) egy dovetail -tartóval van felszerelve az éjszakai hatókörökhöz.","La versione ridotta del fucile d'assalto AKS-74, sviluppata nei primi anni '80 per gli equipaggi dei veicoli da combattimento e le truppe aviotrasportate, divenne anche molto popolare tra le forze dell'ordine e le forze speciali per le sue dimensioni compatte. Mod.n (notte) è dotato di un supporto a coda di coda per gli ampli notturni.","La versión reducida del rifle de asalto AKS-74, desarrollado a principios de los años 80 para equipos de vehículos de combate y tropas aéreas, también se hizo muy popular entre las fuerzas de la ley y las fuerzas especiales por su tamaño compacto. Mod.n (Noche) está equipado con un soporte de cola de milano para los ámbitos nocturnos.","Une version réduite du fusil d'assaut AKS-74, développée au début des années 80 pour les équipes de véhicules de combat et les troupes aéroportées, est également devenue très populaire auprès des forces de l'ordre et des forces spéciales pour sa taille compacte. Mod.n (nuit) est équipé d'un support d'aronde pour les lunettes de nuit.",AKS-74突击步枪的简化版本是在80年代初为战斗机和空中部队开发的，也因其紧凑的规模而在执法和特种部队中也非常受欢迎。 Mod.n（夜）配备了夜间示波器的燕尾架安装座。,80年代初頭に戦闘車両の乗組員と空中軍のために開発されたAKS-74アサルトライフルの縮小バージョンも、そのコンパクトサイズで法執行機関や特殊部隊に非常に人気がありました。 mod.n（night）には、夜間スコープ用のダブテルマウントが装備されています。,"A versão reduzida do rifle de assalto AKS-74, desenvolvida no início dos anos 80 para equipes de veículos de combate e tropas transportadas pelo ar, também se tornou muito popular entre as forças policiais e as forças especiais para seu tamanho compacto. Mod.n (noite) está equipado com um monte de cauda para os escopos noturnos.",AKS-74突击步枪的简化版本是在80年代初为战斗机和空中部队开发的，也因其紧凑的规模而在执法和特种部队中也非常受欢迎。 Mod.n（夜）配备了夜间示波器的燕尾架安装座。
STR_weapons_firearms_akmn,AKMN,AKMN,Akmn,Akmn,АКМН,Akmn,AKMN,Akmn,Akmn,Akmn,akmn,akmn,Akmn,akmn
STR_weapons_firearms_akmn_dsc,AKMN is a small arms system consisting of a modified AKM with dovetail mount for installation of the night vision scopes,AKMN is a small arms system consisting of a modified AKM with dovetail mount for installation of the night vision scopes,AKMN je systém ručních zbraní sestávající z upraveného AKM s honosem pro instalaci rozsahů nočního vidění,"AKMN ist ein kleines Waffensystem, das aus einem modifizierten AKM mit Schwalbenschwanzmontage zur Installation der Nachtsichtszilationen besteht",AKMН - комплекс состоящий из модифицированного автомата AKM с креплением типа ласточкин хвост для крепления ночных прицелов,AKMN to mały system zbrojeń składający się ze zmodyfikowanego AKM z mocowaniem doletailu do instalacji rozstępów noktowizyjnych,"Az AKMN egy kiskaros rendszer, amely egy módosított AKM -ből áll, amely Dovetail -tartóval rendelkezik az éjszakai látási hatókörök telepítéséhez",Akmn è un sistema di armi piccolo costituito da un AKM modificato con supporto a coda di rondine per l'installazione degli ampli per la visione notturna,AKMN es un sistema de armas pequeño que consiste en un AKM modificado con soporte de cola de doblete para la instalación de los ámbitos de la visión nocturna,AKMN est un système d'armes légères composé d'un AKM modifié avec un support en queue d'aronde pour l'installation des lunettes de vision nocturne,AKMN是一个小型武器系统，由修改的AKM和Dovetail安装座组成，用于安装夜视范围,AKMNは、暗視スコープを設置するためのDOVETAILマウント付きAKMで構成される小型武器システムです,Akmn é um sistema de armas pequenas que consiste em um AKM modificado com montagem de cauda para a instalação dos escopos de visão noturna,AKMN是一个小型武器系统，由修改的AKM和Dovetail安装座组成，用于安装夜视范围
STR_weapons_firearms_akm,AKM,AKM,AKM,AKM,АКМ,Akm,AKM,Akm,Akm,AKM,akm,Akm,Akm,akm
STR_weapons_firearms_akm_dsc,"AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Kalashnikovs Automatic Rifle Modernised) - was adopted in 1959 to replace AK as a standard service weapon of the Soviet Army. Main differences compared to AK: enhanced accuracy range, lower weight, new stock, trigger, hammer retarder, muzzle compensator and other design changes aimed at improving the efficiency of the rifle.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Kalashnikovs Automatic Rifle Modernised) - was adopted in 1959 to replace AK as a standard service weapon of the Soviet Army. Main differences compared to AK: enhanced accuracy range, lower weight, new stock, trigger, hammer retarder, muzzle compensator and other design changes aimed at improving the efficiency of the rifle.","AKM 7,62x39mm - (Avtomát Kaláshnikova modernizírovanny - Kalashnikovs Automatic Rifle Modernizovaná) - byla přijata v roce 1959, aby nahradila AK jako standardní servisní zbraň sovětské armády. Hlavní rozdíly ve srovnání s AK: Zvýšená rozsah přesnosti, nižší hmotnost, nová zásoba, spoušť, retardér kladiva, kompenzátoru čenichu a další změny konstrukce zaměřené na zlepšení účinnosti pušky.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Kalashnikovs Automatisches Gewehr modernisiert) - wurde 1959 angenommen, um AK als Standard -Dienstwaffe der sowjetischen Armee zu ersetzen. Hauptunterschiede im Vergleich zu AK: Verbesserter Genauigkeitsbereich, niedrigeres Gewicht, neuer Bestand, Trigger, Hammer -Retarder, Mündungskompensator und andere Designänderungen, die auf die Verbesserung der Effizienz des Gewehrs abzielen.","Автомат Калашникова модернизированный калибра 7,62 мм, принятый на вооружение в 1959 году на смену автомату АК . Основное отличие от АК: увеличенная прицельная дальность стрельбы, меньший вес, новый приклад, замедлитель срабатывания курка, установлен дульный компенсатор и другие конструктивные изменения направленные на повышение эффективности автомата.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Automatyczny karabin Kalashnikovs Modernized) - został przyjęty w 1959 r., Aby zastąpić AK jako standardową bronię usługą armii radzieckiej. Główne różnice w porównaniu z AK: zwiększony zakres dokładności, niższy waga, nowy zapas, spust, opóźniony młot, kompensator wylotowy i inne zmiany projektowe mające na celu poprawę wydajności karabinu.","AKM 7,62x39 mm - (Avtomáta Kalácisnikova Modernizírovanny - Kalashnikovs Automatic Rifle modernizált) - 1959 -ben fogadták el, hogy az AK -t a szovjet hadsereg szokásos szolgálati fegyvereként helyettesítsék. Fő különbségek az AK -hoz képest: fokozott pontossági tartomány, alacsonyabb súly, új állomány, trigger, kalapács retarder, pofa kompenzátor és egyéb tervezési változások, amelyek célja a puska hatékonyságának javítása.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Kalashnikovs Modernized Rifle Modernized) - è stato adottato nel 1959 per sostituire AK come un'arma di servizio standard dell'esercito sovietico. Differenze principali rispetto ad AK: intervallo di accuratezza migliorata, peso inferiore, nuova scorta, grilletto, ritardo del martello, compensatore di museruola e altri cambiamenti di progettazione volti a migliorare l'efficienza del fucile.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizyrovanny - Kalashnikovs Rifle automático modernizado) - se adoptó en 1959 para reemplazar a AK como un arma de servicio estándar del ejército soviético. Las principales diferencias en comparación con AK: rango de precisión mejorado, menor peso, nuevo stock, gatillo, retardador de martillo, compensador de hocico y otros cambios de diseño destinados a mejorar la eficiencia del rifle.","AKM 7.62x39mm - (Avtomát Kaláshnikova Modernizírovanny - Kalashnikovs Automatic Rifle Moderniszed) - a été adopté en 1959 pour remplacer AK en tant qu'arme de service standard de l'armée soviétique. Principales différences par rapport à AK: plage de précision améliorée, poids inférieur, nouveau stock, déclencheur, retardateur de marteau, compensateur de bouche et autres changements de conception visant à améliorer l'efficacité du fusil.",AKM 7.62x39mm-（AvtomátKaláshnikovaModernizírovanny -Kalashnikovs自动步枪现代化） - 于1959年被采用，以取代AK作为苏联军队的标准服务武器。与AK相比，主要差异是：增强精度范围，重量降低，新库存，触发器，锤击器，枪口补偿器和其他旨在提高步枪效率的设计更改。,AKM 7.62x39mm-（AvtomátKaláshnikovaModernizírovanny -Kalashnikovs Automatic Rifle Modernized） -  1959年にAKをソビエト陸軍の標準的なサービス兵器として置き換えました。 AKと比較した主な違い：精度範囲の強化、減少、新しいストック、トリガー、ハンマーリターダー、マズル補償器、およびライフルの効率を改善することを目的としたその他の設計変更。,"Akm 7.62x39mm - (Avtomát Kaláshnikova Modernizriovanny - Kalashnikovs Rifle automático modernizado) - foi adotado em 1959 para substituir AK como uma arma de serviço padrão do exército soviético. Principais diferenças em comparação com AK: faixa de precisão aprimorada, menor peso, novo estoque, gatilho, retardador de martelo, compensador de focinho e outras alterações de design destinadas a melhorar a eficiência do rifle.",AKM 7.62x39mm-（AvtomátKaláshnikovaModernizírovanny -Kalashnikovs自动步枪现代化） - 于1959年被采用，以取代AK作为苏联军队的标准服务武器。与AK相比，主要差异是：增强精度范围，重量降低，新库存，触发器，锤击器，枪口补偿器和其他旨在提高步枪效率的设计更改。
STR_weapons_firearms_ak74n,AK-74N,AK-74N,AK-74N,AK-74n,АК-74Н,AK-74N,AK-74N,Ak-74n,AK-74N,AK-74N,AK-74N,AK-74N,AK-74N,AK-74N
STR_weapons_firearms_ak74n_dsc,"AK-74N (Avtomat Kalashnikova 74 Nochnoy - Kalashnikov's Automatic rifle 74 Night) was developed in 1970 by M. T. Kalashnikov, became a further evolution of AKM due to adoption of the new 5.45x39 ammunition by the military. The key design difference from the standard AK-74 is a side mount for optical and night scopes. ","AK-74N (Avtomat Kalashnikova 74 Nochnoy - Kalashnikov's Automatic rifle 74 Night) was developed in 1970 by M. T. Kalashnikov, became a further evolution of AKM due to adoption of the new 5.45x39 ammunition by the military. The key design difference from the standard AK-74 is a side mount for optical and night scopes. ","AK -74N (Avtomat Kalashnikova 74 Nochnoy - Kalashnikovova automatická puška 74 noc) byla vyvinuta v roce 1970 M. T. Kalashnikovem, stal se dalším vývojem AKM v důsledku přijetí nové 5,45x39 munice armádou. Klíčový návrh rozdílu od standardního AK-74 je boční držák pro optické a noční rozsahy.","AK -74n (Avtomat Kalashnikova 74 Nochnoy - Kalashnikovs automatisches Gewehr 74 -Nacht) wurde 1970 von M. T. Kalashnikov entwickelt, wurde aufgrund der Annahme der neuen Munition der 5.45x39 durch das Militär zu einer weiteren Entwicklung von AKM. Der wichtigste Designunterschied zum Standard AK-74 ist eine Seitenhalterung für optische und Nachtbereiche.","Автомат Калашникова калибра 5,45 мм, разработанный в 1970 году конструктором М. Т. Калашниковым как дальнейшее развитие АКМ в связи с переходом Вооруженных Сил на новый боеприпас 5.45x39. Основное отличие от штатного АК-74 - наличие крепления для оптических и ночных прицелов. ","AK -74N (Avtomat Kalashnikova 74 Nochnoy - Automatyczny karabin Kalashnikov 74) został opracowany w 1970 r. Przez M. T. Kalashnikov, stał się dalszą ewolucją AKM z powodu przyjęcia nowej amunicji 5.45x39 przez wojsko. Kluczową różnicą konstrukcyjną od standardowego AK-74 jest boczne mocowanie optyczne i nocne.",Az AK -74N (Avtomat Kalashnikova 74 Nochnoy - Kalashnikov 74 éjszaka) 1970 -ben fejlesztette ki M. T. Kalashnikov által az AKM további fejlődését az új 5.45x39 -es lőszer által a katonaság általi elfogadása miatt. A legfontosabb tervezési különbség a standard AK-74-től az optikai és az éjszakai hatókörök oldalsó tartója.,"AK -74N (Avtomat Kalashnikova 74 Nochnoy - Il fucile automatico di Kalashnikov 74 notti) fu sviluppato nel 1970 da M. T. Kalashnikov, divenne un'ulteriore evoluzione di AKM a causa dell'adozione delle nuove munizioni da 5,45x39 dai militari. La differenza di progettazione chiave rispetto all'AK-74 standard è un supporto laterale per ambiti ottici e notturni.","AK -74N (Avtomat Kalashnikova 74 Nochnoy - El rifle automático de Kalashnikov 74 Noche) fue desarrollado en 1970 por M. T. Kalashnikov, se convirtió en una evolución adicional de AKM debido a la adopción de la nueva munición 5.45x39 por parte del ejército. La diferencia de diseño clave del AK-74 estándar es un soporte lateral para ámbitos ópticos y nocturnos.","AK-74N (Avtomat Kalashnikova 74 Nochnoy - Rifle Automatic Rifle 74 de Kalashnikov) a été développé en 1970 par M. T. Kalashnikov, est devenu une nouvelle évolution de l'AKM en raison de l'adoption des nouvelles munitions de 5,45x39 par l'armée. La principale différence de conception par rapport à l'AK-74 standard est un support latéral pour les lunettes optiques et nocturnes.",AK -74N（Avtomat Kalashnikova 74 Nochnoy -Kalashnikov的自动步枪74夜）于1970年由M. T. Kalashnikov于1970年开发，由于采用了新的5.45x39弹药。与标准AK-74的关键设计差异是用于光学和夜间范围的侧架。,AK -74N（Avtomat Kalashnikova 74 Nochnoy -Kalashnikovの自動ライフル74泊）は、1970年にM. T. Kalashnikovによって開発され、軍隊による新しい5.45x39弾薬の採用によりAKMのさらなる進化となりました。標準のAK-74との主要な設計の違いは、光学および夜間のスコープのサイドマウントです。,"AK -74N (Avtomat Kalashnikova 74 Nochnoy - o rifle automático de Kalashnikov 74) foi desenvolvido em 1970 por M. T. Kalashnikov, tornou -se uma evolução adicional da AKM devido à adoção da nova munição de 5.45x39 por militar. A diferença de design-chave do AK-74 padrão é uma montagem lateral para escopos ópticos e noturnos.",AK -74N（Avtomat Kalashnikova 74 Nochnoy -Kalashnikov的自动步枪74夜）于1970年由M. T. Kalashnikov于1970年开发，由于采用了新的5.45x39弹药。与标准AK-74的关键设计差异是用于光学和夜间范围的侧架。
